,Company,Job_title,Term,Start_time,Duration,Location,Job_description,Job_responsibilities,Required_qualifications,Salary_Renumeration,Opening_date,Application_deadline,Number_of_job_posting_retrivals,Job_link,Industry
75,Avenue Consulting Group LLC,Debt Collection Specialist,Full time,ASAP,Long term,"Yerevan, Armenia","Avenue Consulting Group LLC is looking for a competent Debt Collection Specialist who will deal with overdue business and personal loan accounts helping the Company's clients recover assets allowing for smooth business operation. The incumbent will work with debtors on a daily basis, negotiating with clients to come to a payment plan suitable for all parties.","Compile weekly, monthly, quarterly and other reports on the collection process and submit to the Supervisor; Prepare and process legal documentation on overdue depts; Elaborate and maintain clients' and debtors' databases; Reconcile customer disputes with the debtors; Provide excellent and considerate customer service to clients; Participate in team planning meetings; Meet defined department goals; Perform other job related tasks assigned by the Supervisor.","Bachelor's degree in Law; At least 3 years of experience in a bank debt collection department or a universal credit organization or in a related position; Demonstrated skills in negotiating and resolving conflicts; Ability to speak persuasively and listen critically; Ability to prioritize and multitask and meet tight deadlines; Stress resilience and positive mindset; Ability to handle confidential information; Excellent written and verbal skills in Armenian, Russian and English languages; Advanced skills in using MS Office and database software; operating knowledge of ArmBank Software is an asset.",,2018-09-06,2018-09-27,501,https://www.careercenter.am/ccdspann.php?id=32682,Finance & Consulting & Banking
76,Avenue Consulting Group LLC,Chief Accountant,Full time,ASAP,Long term,"Yerevan, Armenia","Avenue Consulting Group is looking for a skilled Chief Accountant to maintain financial records, including purchases, sales, receipts and payments.","Prepare, examine, and analyze accounting records, financial statements, and other financial reports to assess accuracy, completeness and conformance to reporting and procedural standards; Report, analyze and ensure integrity of all financial information; Determine proper handling of financial transactions; Maintain the system of accounts and keep records on all Company transactions and assets; Review, investigate and correct errors and inconsistencies in financial entries, documents and reports; Closely maintain and monitor the fixed assets and inventory system; Prepare annual financial statements in accordance with IFRS requirements; Prepare management reports to summarize and interpret current and projected Company financial position; Handle budgets and manage the costs; Prepare and timely submit all necessary tax, statistical and other obligatory reports; Develop, implement, modify and document record keeping and accounting systems; Report to management regarding the Company's finances; Perform other job related duties assigned by the Supervisor.","University degree in Accounting or Finance; At least 5 years of professional experience in accounting and finance; Proficient knowledge of accounting softwares (1C, Armenian Software); Knowledge of automated financial and accounting reporting systems; Excellent knowledge of RA Tax and Labor legislation; Strong analytical and time management skills; Excellent interpersonal and communication skills; Knowledge of Armenian Accounting Standards and IFRS; Accounting experience in various sectors is a plus; Excellent written and verbal skills in Armenian, Russian and English languages.",,2018-09-06,2018-09-27,788,https://www.careercenter.am/ccdspann.php?id=32681,Accounting & Bookkeeping
77,Atenk Ltd.,"Economist within the Program ""Future Organization Manager""",Full time,,Permanent,"Yerevan, Armenia","Atenk Ltd. is looking for an Economist to join its team within the Program ""Future Organization Manager"". ""Future Organization Manager"" is a job study program which is designed for finding and recruiting a graduate from a leading University, who will have an opportunity to acquire practical economical, financial and managerial knowledge and skills by leading mentors and may become a manager of Atenk meat product company.","Responsibilities include, but are not limited to: Work with the economical information and database, continuously develop and analyze it; Lead short term projects and supervise their realization; Set and achieve goals and arrange solutions of different operational issues occurred in the businesses on timely basis; Collaborate and maintain relationship with colleagues and develop feedback, exchange the experience; Work closely with the General Manager and departmental managers; take part in making strategic decisions.",Bachelor's or master's degree in Economics or Finance; At least 1 year of experience; Strong knowledge of Economics; Advanced MS Office skills; Initiative and a great sense of humor; High level of responsibility and analytical mindset; Big desire to acquire new knowledge periodically; Good leadership skills.,,2018-09-06,2018-10-05,663,https://www.careercenter.am/ccdspann.php?id=32676,Other
78,Enterprise Rent A Car,Digital Marketing Manager,Full time,ASAP,Long term,"Yerevan, Armenia",Enterprise Rent A Car is looking for a professional and experienced Digital Marketing Manager to join its team.,Design marketing materials; Manage social media pages; Update the website content and banner designs; Communicate with content writers and SEO specialists to ensure maximum efficiency of marketing campaigns; Organize email marketing campaigns.,"University degree in Design, Marketing or a related field; At least 2 years of work experience in digital design and SMM field; Good knowledge of Russian and English languages; Professional skills in Adobe Illustrator; Proficiency in any other design software will be a plus.","160,000 AMD (Net), plus competitive monthly bonuses.",2018-09-06,2018-10-05,486,https://www.careercenter.am/ccdspann.php?id=32678,Marketing & Advertisement
79,"Nubestic, Inc.",Senior .Net Developer,Full time,Immediately,Long term,"Yerevan, Armenia",Nubestic is expanding its development team and is looking for a Senior .Net Developer with strong C#/.NET Core MVC development experience to join its team for his/ her next career opportunity in an agile environment.,Design and develop end to end web applications; Design and develop Web APIs; Work closely with counterparts to discuss and understand requirement; Provide progress report; Maintain documentation.,"Bachelor's degree or equivalent experience; At least 4 years of experience in developing web applications; Experience with C#, MVC, .Net Core, Entity Framework Core and Web API; Experience with jQuery, JavaScript, CSS3 and HTML 5; Experience with T SQL and SQL Server; Working knowledge of cloud computing methodologies and principals; Experience with Microsoft Azure is a big plus; Ability to work independently; Willingness and openness to learn new technologies and methodologies; Excellent verbal and written communication skills in English language.",Competitive,2018-09-06,2018-10-05,462,https://www.careercenter.am/ccdspann.php?id=32659,Information Technology
80,EYESoft LLC,Senior .NET Engineer,,,,"Yerevan, Armenia","EYESoft LLC is looking for an enthusiastic Senior .NET Engineer to design, develop and maintain software solutions. The ideal candidate should be familiar with the software development lifecycle from preliminary system analysis to tests and deployment. Ultimately, the role of the Senior .NET Engineer is to build high quality, innovative and fully performing software that complies with coding standards and technical design.","Act as the main technical expert and responsible person of assigned products; Execute full software development lifecycle; Work independently within task guidelines established by upper management; Develop flowcharts, layouts and documentation to identify requirements and solutions; Write well designed, testable code; Integrate software components into a fully functional software system; Help develop software verification plans and quality assurance procedures; Document and maintain software functionality; Troubleshoot, debug and upgrade existing systems; Deploy programs and evaluate user feedback; Comply with project plans and industry standards; Teach, mentor and coordinate the work of junior team members.","BS degree in Computer Science, Engineering or a relevant field; Proven hands on software development experience; Excellent knowledge of general .NET technologies using C#; Solid knowledge of WPF using C#; Solid knowledge of .NET Web services and .NET REST services; Solid knowledge of HTTP, REST and JSON; Experience in .NET Core is a plus; Excellent knowledge in JavaScript ES6; General experience with single page applications; Familiarity with AngularJS (1.X) or ability to pick it up very quickly; Solid knowledge of Microsoft SQL Server; Experience with AWS is a plus.",Highly competitive,2018-09-05,2018-09-30,611,https://www.careercenter.am/ccdspann.php?id=32674,Information Technology
81,DHL Express Armenia,Customer Service Agent,,,,"Yerevan, Armenia",DHL Express Armenia is looking for a candidate to fill the position of Customer Service Agent.,"Provide quality customer service to clients; Order booking and shipment tracing; Solve the problems and complaints from customers; Perform a variety of customer service support duties; ensure timely and accurate information is provided to customers in a professional manner; respond to inquiries via phone and mail; Communicate with customers face to face in reception; Prepare different types of contracts, references, appendixes and other documents.","Higher education; Experience in customer service is appreciated; Fluency in English, Russian and Armenian languages, both verbal and written; Knowledge of MS Office; High sense of responsibility; Effective negotiation and communication skills; Ability to work in stressful situations; quick decision maker with ability to set priorities.",,2018-09-05,2018-10-04,940,https://www.careercenter.am/ccdspann.php?id=32670,Other
82,WeDo LLC,Senior Developer/ Team Lead,Full time,ASAP,Long term,"Yerevan, Armenia","WeDo LLC is looking for an experienced and smart Senior Developer/ Team Lead who can take care of full software development cycle. The Company needs someone who can analyze requirements, delegate and deliver results.","Deliver high quality, tested and clean code; Help team members to deliver high quality code; Use own expertise and knowledge of the industry practices; Stay up to date with new technology and teach other developers how to incorporate new trends.","Work experience in a relevant field is a plus; Knowledge of OOP programming language and related technologies; Knowledge of design patterns; Knowledge of Java; Knowledge of C# is a plus; Knowledge of C++ is a plus; Knowledge of HTML, CSS and JS is a plus; Knowledge of AngularJS is a plus; Knowledge of Oracle is a plus; Knowledge of Redis is a plus; Knowledge of Node.js is a plus; Expertise in learning new things quick and without complicating; Very smart person with the ability to learn fast and be flexible with different technologies.",Highly competitive,2018-09-05,2018-10-04,2435,https://www.careercenter.am/ccdspann.php?id=32665,Other
83,Life Sciences International Postgraduate Educational Center SNCO,Administrative Assistant,,ASAP,,"Yerevan, Armenia",Life Sciences International Postgraduate Educational Center SNCO is looking for an Administrative Assistant to join its team.,"Provide administrative support to the management; Fill out the paperwork for state and private tenders; Administer communication with external parties through official mail and other means; Monitor, coordinate and control document flow for certain projects; Translate and summarize all required documents, including letters and reports, from English language into Armenian language and vice versa; Edit scientific papers in English language; Interpret in Armenian and English languages at bilateral and multilateral meetings; Update the database; Make business trips when required.","MA degree in Linguistics or Management; At least 2 years of advanced work experience; Excellent knowledge of English and Armenian languages; Good computer skills (MS Office); excellent typing skills; Positive personality with strong interpersonal skills; Highly motivated, energetic, hard working, disciplined and confident personality with a high sense of responsibility; Strong organizational skills; Strong professional ethics and presentation skills.",,2018-09-05,2018-10-04,1628,https://www.careercenter.am/ccdspann.php?id=32657,Admin & Clerical
84,EpygiArm LLC,Software Developer,Full time,,Long term,"Yerevan, Armenia","EpygiArm LLC is looking for a Software Developer. As a member of the Software team, the Software Developer will use technical education and experience to develop mobile and web applications, document software per product and specifications.","Design and build advanced applications on iOS and Android platforms; Design and build advanced web application; Work on bug fixing and improving application performance; Ensure the quality and responsiveness of applications; Collaborate with other engineers to define, design and ship new features.",BS or MS in Computer Science or equivalent; Proven experience in mobile (iOS and Android) and web applications development; Good knowledge of English language; Strongly developed analytical and troubleshooting skills.,,2018-09-05,2018-10-04,587,https://www.careercenter.am/ccdspann.php?id=32668,Information Technology
85,EpygiArm LLC,Technical Support Engineer,Full time,,Long term,"Yerevan, Armenia","EpygiArm LLC is looking for a Technical Support Engineer who will provide high level technical support on the Company's products via ticketing system, telephone and email response. The fundamental goal of this position is to help the Company's customers achieve success using its products.","Provide technical support via telephone queue and email and through support portal to address technical challenges; Troubleshoot customer reported incidents; Gather, review and record log files, traces, configuration, environmental information and network topology data; Maintain accurate and timely records in the Company's incident tracking system.",BS or MS in Computer Science or equivalent; Very good knowledge of written and spoken English language; Knowledge of networking protocols; Knowledge of Voice over IP protocols; Ability to learn and adapt quickly to new standards and techniques; Strongly developed analytical and troubleshooting skills.,,2018-09-05,2018-10-04,547,https://www.careercenter.am/ccdspann.php?id=32669,Information Technology
86,Press Stand LLC,Assistant to the CEO,,,,"Yerevan, Armenia","Press Stand LLC is looking for an Assistant to the CEO to join its team. The incumbent will provide support to the management of the Company in organizational, paperwork and information aspects of the daily work of the Company.","Provide a comprehensive secretarial and administration service to the CEO across a range of his work; Monitor, coordinate and control document flow for certain projects; Answer telephone calls, type correspondence, check mail and schedule appointments and meetings; Maintain the office condition and arrange necessary repairs; Organize the office operations and procedures; Prepare documents, letters and memorandum; Perform other job related duties as assigned.",University degree; Experience in a relevant position is desired; Good communication skills; Basic knowledge of English and Russian languages; fluency in both languages is a plus; Attention to details and accuracy; Ability to work effectively and manage multiple priorities; Good knowledge of MS Office package.,"150,000 AMD (Net)",2018-09-05,2018-10-04,1012,https://www.careercenter.am/ccdspann.php?id=32673,Admin & Clerical
87,Würth LLC,Sales Consultant,Full time,,,"Yerevan, Armenia","Würth LLC is looking for a hard working Sales Consultant who will present Würth products to buyers, keep in touch with active, new and potential customers and ensure a steady growth in sales.",Present and sell the Company's products; Work with existing clients and acquire new customers; Responsible for order processing.,Higher education; Ability to work and communicate with people easily; Hard working and captious person with a high sense of responsibility; Constant desire to acquire new knowledge and skills; Availability of a driving license; At least 2 years of driving experience.,,2018-09-04,2018-09-20,899,https://www.careercenter.am/ccdspann.php?id=32666,Sales & Service Management
88,IDeA (Initiatives for Development of Armenia) Charitable Foundation,Business Development and Operations Manager,Full time,ASAP,Long term (with 3 months of probation period),"Dilijan, Armenia",,"Coordinate the activities of business units in the HoReCa and tourism spheres; Arrange and coordinate the operations of the public park, tourist information center, city lake, etc.; Develop and propose tactical solutions to ensure business units are operating in a normal way; Arrange necessary repairs related to the operating units; Provide regular reports to the management; Arranges solutions of different operational issues occurred in the businesses on timely basis; Expand the customer base, collaborate to tour agencies to promote the services of the business units; Ensure the performance indicators defined for the business development; Initiate business meetings with prospective clients; Conduct research to reveal new development opportunities to meet customer needs; Develop and propose financial development strategies based on market research.","Degree in construction related disciplines; At least 3 years of construction estimating experience; Superior organizational abilities and attentiveness to details; Personal initiative and ability to work with minimal supervision in a team environment; Advanced computer skills (Autocad, Microsoft Project and MS Office); Fluency in Armenian and Russian languages; knowledge of English language will be considered as an asset; Good team player and a high degree of professional ethics.",,2018-09-04,2018-09-20,1904,https://www.careercenter.am/ccdspann.php?id=32672,Management
89,Macadamian AR CJSC,Senior Java Developer,,,,"Yerevan, Armenia","Macadamian AR is looking for a Senior Java Developer with strong technical and analytical skills. The incumbent will be primarily focusing on analysis, design and development of complex applications working in distributed teams. Reporting to the Director, Engineering, the senior level is important in the delivery of high quality technical projects to the Company's customers. The Senior Java Developer works under general direction and is responsible for combining mature technical knowledge and skills with coaching skills to contribute to the quality, effectiveness and efficiency of the technical work completed by him/ her and the colleagues.","Actively participate in the entire SDLC: design, development and delivery; Identify architectural bottlenecks, defects and devise solutions to these issues; Troubleshoot production issues and provide developer support for ongoing releases; Interface with PM, BA, QA and deployment teams.","Bachelor's degree or higher in Computer Science, Engineering or a relevant field; At least 5 years of overall software development experience; 5 years of hands on experience in Java development; Solid understanding of OOP/ OOD principles and design patterns; Deep understanding of core concepts of Java EE and frameworks like Spring, Hibernate and Spring Boot; Strong knowledge of REST, SOAP and Web services; Solid experience in working with NoSQL and RDBMS databases; Experience in JavaScript and related frameworks (AngularJS) is a plus; Ability to prioritize and multitask when under pressure; Strong communication skills and ability to work with global teams; Highly motivated, enthusiastic, adaptable person eager to learn new technologies on an ongoing basis; Fluency in English language, excellent reading, writing and speaking skills; Ability to be open to feedback and to accept criticism.","Competitive, plus bonus program, sport package and insurance package.",2018-09-04,2018-10-03,477,https://www.careercenter.am/ccdspann.php?id=32661,Information Technology
90,KPMG Armenia CJSC,Accountant,,,,"Yerevan, Armenia",KPMG Armenia CJSC is looking for an Accountant to join its team.,"Responsibilities include, but are not limited to: Responsible for daily processing of accounting data and monthly/ annual reporting routines for compliance clients; Prepare monthly, quarterly and annual tax reports for clients; Prepare payroll calculations; Prepare management reports for clients; Research and analyse provisions of tax legislation; Perform other job related duties of a tax team member, as assigned; Develop and maintain strong professional relationship with clients; Generate new ideas and tax solutions.","University degree in Accounting, Finance or Economics (honors diploma, MBA or MA is desirable); At least 3 years of work experience in accounting and tax field; Strong knowledge of RA tax and accounting legislation; Good knowledge of RA labor legislation; Good knowledge of accounting software (Armenian Software is preferable); Good interpersonal and communication skills; ability to work under pressure and deliver tasks in a timely manner; Strong research and analytical skills; Fluency in Armenian, English and Russian languages; Readiness for intensive work and learning; Willingness to learn and develop professionally.",,2018-09-04,2018-09-23,1222,https://www.careercenter.am/ccdspann.php?id=32664,Accounting & Bookkeeping
91,Andava Digital Marketing Agency,Web/ Graphic Designer,Full time,01 October 2018,"Permanent, with 3 months of probation period","Yerevan, Armenia","Andava Digital Marketing Agency needs a professional Web/ Graphic Designer with experience in both graphic and web design. The Company is looking for someone who can take direction from written or spoken ideas and convert them seamlessly into images, layouts and other design. Web/ Graphic Designer will work with web developers to build the structure of a site and then overlay all of the elements the team sees and interacts with. The incumbent's work should provide the Company with a beautiful and purposeful web interface, encourage to click around, allow to engage rapidly and take the appropriate action a company or brand intends. He/ she must understand their site's intended audience and design accordingly. The successful candidate should have an intimate understanding of how digital marketing campaigns work to support the Company's clients. Andava Digital Marketing Agency works in a fast paced environment, so the ideal Web/ Graphic Designer will be able to hit the ground running as soon as the Company brings on a new client or project.","Collaborate, brainstorm, and strategize with multiple teams or clients for a wide range of materials that may include web pages, presentations, programming collateral, signage, internal communication, newsletters and marketing materials; Translate strategic direction into high quality design within an established brand identity; Develop concepts by hand or with software, and execute original content determining ideal usage of color, text, font style, imagery, and layout; Manage the design and uploading process of all project material, understanding best practices for using a content management system; Use trend intelligence and an understanding of the current and historical business and market to design and execute specific classifications; Design and build professional, impactful page layouts, landing pages and HTML mailers; Visualize new concepts and promotions, as well as take basic concepts and develop them into finished web pages and promotions.","Bachelor's degree in Graphic Design, Art or a similar discipline; At least 3 years of experience in professional web graphic design, preferably with a creative or marketing agency; At least 5 years of experience (academic and professional) with design software, including Illustrator and Photoshop; Proven experience in graphic design, with a strong portfolio of work; Experience in leading creative teams and designing with other professionals is of prime consideration; Exceptional creativity and innovative design skills; Excellent communication and presentation skills; Organizational and time management skills for meeting deadlines in a fast paced environment; Working knowledge of CSS and HTML is a plus; Knowledge of WordPress and content management systems is a plus; Photography experience and proficiency with photo editing software; Desire to continue to grow skill set with ongoing education and training; Highly creative person capable of designing and building professional, impactful page layouts, landing pages and HTML mailers; Self motivated person enthusiastic about web design and graphics and willing to ""go the extra mile"" to design and build impressive web pages to tight deadlines; Enthusiastic, flexible, reliable person capable of working alone and as part of a team.","Competitive, based on experience.",2018-09-04,2018-09-30,542,https://www.careercenter.am/ccdspann.php?id=32660,Other
92,Rosgosstrakh Armenia ICJSC,Senior System Administrator,,,Long term,"Yerevan, Armenia",Rosgosstrakh Armenia ICJSC is looking for a high qualified Senior System Administrator to join its team.,"Ensure the server operating systems and applied software support, as well as implement database administration; Implement the Company's computer and telephone network administration; Implement archiving and backup storing; Ensure compliance with the information system security standards established in the Company; Install new technical equipment and control its smooth operation; Provide administration of systems and the services access; Cooperate with telephone and telecommunication suppliers; Provide remote administration of workstations; Provide employees with an access to systems, services, etc.; terminate or limit it as appropriate.","University degree in Computer Science or a related field; 3 years of experience in system administration; Strong knowledge of MS Windows 7; Strong knowledge of MS Windows 2008/2012 R2/2016 Server; Strong knowledge of MS Active Directory, GPO, terminal server, file server; Strong knowledge of MS Exchange 2010/2013/2016; Strong knowledge of TCP/IP, DNS, DHCP, FTP, VPN; Strong knowledge of MS SQL Server 2008/2012/2016; Strong knowledge of VMware ESXi; Strong knowledge of Veeam Backup 7.0; Knowledge of MS WSUS Server; Knowledge of Linux Skills (Debian, CentOS); Knowledge of Asterisk, Elatix administration; Fluency in Armenian language, knowledge of technical English language; Excellent communication skills; Ability to work under pressure; Availability of a driving license.",Competitive,2018-09-04,2018-10-03,579,https://www.careercenter.am/ccdspann.php?id=32662,Information Technology
93,Bass Boutique Hotel,Sales Manager,,ASAP,Long term,"Yerevan, Armenia","Bass Boutique Hotel is seeking a dynamic Sales Manager to join its team. The incumbent must possess excellent communication skills in customer relations, be flexible in targeting new business and exceed established goals for his/ her market segment. In addition, he/ she will attract new clients for boosting hotel sales. The candidate should be dynamic and proactive, able to take the initiative and maintain as well as build the existing client base. Sales Manager will represent Company's products and services to existing/ potential customers and assist them in selecting the best suited to their needs.","Target new business opportunities; Build and maintain existing relationships; Develop and maintain a contact and customer database; Prepare sales proposals to clients incorporating clearly defined terms and conditions; Establish an effective sales call cycle for key customers, existing and new partners; Work to achieve agreed goals and objectives; Report to the superior.","At least 1 year of hotel corporate sales experience and a network of contacts; Degree in Hospitality or Tourism Management would be an asset; Commitment to exceeding guest expectations; Computer literacy: knowledge of MS Office; Advanced written and oral communication skills in Armenian, Russian and English languages; Excellent organizational and time management skills, with the ability to set priorities; Ability to communicate information and ideas clearly, work in a fast paced environment and handle everyday situations quickly and effectively; Entrepreneurial spirit is a definite asset.",,2018-09-03,2018-10-02,899,https://www.careercenter.am/ccdspann.php?id=32655,Management
94,Seven Smarts LLC,IT Project Manager,,,,"Yerevan, Armenia",Seven Smarts is looking for a result oriented specialist to work as a Project Manager for one of its startup projects – Mealo.,"Monitor and communicate Project status; Actively participate in all product sessions and planning with suggestions on functional requirements, product design, etc.; Keep track of deliverables; Create and implement social media strategies to ensure high social media performance; Measure project performance using appropriate systems, tools and techniques, lead quality assurance; Perform other job related duties as assigned.","University degree in Management, Marketing or a related field; Experience working as a Project Manager in an IT company would be a plus; Excellent knowledge of English and Russian languages; Strong analytical and problem solving skills; Excellent written and verbal communication skills.",Compensation is competitive and will depend on experience and skills.,2018-09-03,2018-10-02,1112,https://www.careercenter.am/ccdspann.php?id=32656,Information Technology
95,InterTech LLC,Product Manager,Full time,ASAP,"Long term, with 3 months of probation period.","Yerevan, Armenia","Intertech LLC is currently looking for an experienced Product Manager eager to build products that customers love. The incumbent will join a dynamic and fast paced environment and work with cross functional teams to design, build and roll out products that deliver Company's vision and strategy.","Gain a deep understanding of customer experience, identify and fill product gaps and generate new ideas that grow market share, improve customer experience and drive growth; Assess market competition, maintain knowledge on all regulation issues and competitor business; Create buy in for the product vision both internally and with key external partners; Monitor all aspects of the product such as legal requirements, development of product pricing and positioning strategies; Translate product strategy into detailed requirements and prototypes; Scope and prioritize activities based on business and customer impact; Allocate appropriate resources for projects by scheduling and assigning employees, and following up on work results; Monitor efficient workflow of all projects within product development and ensure their compliance to project plan; Work closely with Product and Project Management, Marketing, Business Analysis and other teams to resolve all the issues, to perform product testing on various processes and to deliver with quick time to market and optimal resources; Drive product launches and administer all user centric designs and ensure compliance to key deliverables; Identify all issues and resolve them effectively to achieve the defined objectives; Evaluate promotional plans to ensure that they are consistent with product line strategy and that the message is effectively conveyed; Act as a product evangelist to build awareness and understanding; Train the staff for all operational business activities and maintain consistency in same.","Proven work experience in product management; Proven track record of managing all aspects of a successful product throughout its lifecycle; Proven ability to develop product and marketing strategies and effectively communicate recommendations to executive management; Solid technical background with understanding and/ or hands on experience in software development and web technologies; MS/ BS degree in Computer Science, Engineering or equivalent is preferred; Strong problem solving skills and willingness to roll up one's sleeves to get the job; Person skilled at working effectively with cross functional teams in a matrix company; Excellent written and verbal communication skills; People management skills; Strong analytical and product management skills, including a thorough understanding of how to interpret customer business needs and translate them into application and operational requirements.",Highly competitive,2018-09-03,2018-10-02,981,https://www.careercenter.am/ccdspann.php?id=32654,Management
96,Varm Technologies LLC,Android Developer,Full time,,,"Yerevan, Armenia","Varm Technologies LLC is looking for a talented Android Developer who will become part of the engineering team, to work on the Company's ongoing crypto messenger and home automation projects contributing to design, development and maintenance.","Design and build advanced applications for the Android platform; Design, build and maintain a high performance, reusable and reliable Java and Kotlin code; Collaborate with cross functional teams to define, design and ship new features; Ensure the best possible performance, quality and responsiveness of the application; Help to maintain the code quality, organization and automatization; Continuously discover, evaluate and implement new technologies to maximize mobile development efficiency.","At least 3 years of experience in Android development; Bachelor's/ master's degree in Computer Science, Engineering or a related field; Strong knowledge of Android SDK and different versions of Android; Strong knowledge of Android UI design principles, patterns, and best practices; Solid understanding of MVC, MVP and other architectural patterns; Experience with offline storage, multi threading, and performance tuning; Experience with third party libraries and APIs like RxJava, RxAndroid, Dagger, Retrofit and etc.; Ability to understand business requirements and translate them into technical requirements; Proficient understanding of code versioning tools such as Git, Mercurial or SVN; Solid understanding of the full mobile development life cycle; Passion for mobile device technologies, especially Android; Knowledge of English language.","Competitive, additional bonus programs and trainings.",2018-09-03,2018-10-02,454,https://www.careercenter.am/ccdspann.php?id=32652,Information Technology
97,Varm Technologies LLC,iOS Developer,Full time,,,"Yerevan, Armenia","Varm Technologies LLC is looking for a motivated iOS Developer who will become part of the engineering team, to work on crypto messenger and home automation projects, contributing to design, development and maintenance.",Design and build various applications for the iOS platform; Translate designs and wireframes into high quality code; Work on improving application performance; Identify and correct bottlenecks and fix bugs; Consistently meet task deadlines while maintaining high quality standards.,"BS/ MS in Computer Science, Engineering or a related subject; At least 3 years of iOS development experience; Fast learner of new and emerging technologies; Self motivated personality with the ability to drive features to delivery; Solid understanding of the full mobile development life cycle; Proficiency with Objective C, Swift and Cocoa Touch; Understanding of Apple's design principles and interface guidelines; Experience with iOS frameworks such as Core Data, Core Animation, Core Graphics, etc.; Knowledge of streaming and VoIP technologies such as WebRTC is a big plus; Experience with C/ C++ is a plus; Familiarity with RESTful APIs to connect iOS applications to back end services; Familiarity with Apple Push Notification Service; Experience working with the open source iOS ecosystem and third party libraries available for common tasks; Knowledge of XMPP, SIP, RTSP and other networking protocols is preferable; Knowledge of English language.","Competitive, additional bonus programs and trainings.",2018-09-03,2018-10-02,813,https://www.careercenter.am/ccdspann.php?id=32650,Information Technology
98,Sef International UCO LLC,Abovyan Branch Manager,,,,"Abovyan, Armenia","The incumbent will be responsible for the management and supervision of the Branch staff. He/ she will plan and coordinate all operations in line with Organization's mission, manage the Branch portfolio and control the budget.","Perform strategic and financial planning and control of the Branch operations; Carry out the ongoing management of the Branch staff and ensure the realization of Organization's policies and procedures; Ensure the compliance of all credit operations of the Branch with the Organization's objectives, politics and strategy, as well as local legislation; Control and process Branch loan portfolio ensuring timely repayments and effective customer service; Establish contacts with public, solve marketing issues; Participate in the development of credit and non credit products and in the modification and implementation of the processes; Introduce to customers the lending conditions and decisions about it; Participate and control the lending and repayment processes; Manage the loan portfolio of the Branch and budget; Ensure the Branch operations are in line with local legal requirements, professional standards, Company standards, objectives and strategy of the Organization.","Higher education; university degree in Economics will be an advantage; At least 3 years of managerial experience; Ability to evaluate financial risks; Knowledge of rules of preparation of internal and external evaluations; Good understanding of principles of small and medium business setup and development; Awareness of modern means of data analysis and processing; Knowledge of main requirements of contracts and treaties; Familiarity with methods of financial analysis; Good understanding of principles of people management, marketing, branding and public relations; Project management skills; skills in management of document turnover; Knowledge of information systems used by finance institutions; Good command of principles of RA Civil and Labor Code; Business communication ethics; MS Office skills (Excel and Word); AS Bank skills are a plus.",,2018-09-03,2018-09-20,663,https://www.careercenter.am/ccdspann.php?id=32645,Management
99,Digital Edge,System Administrator,Full time,ASAP,Permanent,"Yerevan, Armenia",Digital Edge is looking for a System Administrator to join its team.,"Monitor IT systems; Work with monitoring/ alerting systems; troubleshoot and solve arising issues engaging other teams if needed; Act rapidly in critical situations, handling multiple alerts simultaneously; Be able to ensure high availability and SLAs; Control the accuracy of responses to all received claims and problems from clients; Manage, track, report and process assigned tickets daily and across shifts; Redirect problems to the appropriate departments; Create reports and ensure proper workflow; Work in a 24x7 team, with day and night shifts.","Bachelor's degree in Computer Science, Engineering or in other related area; Written and verbal communication skills in English language; Good knowledge and hands on experience with Windows and Linux servers; Troubleshooting and customer service skills; Strong analytical and organizing skills, with strong attention to detail; Ability to multitask, prioritizing multiple objectives and initiatives.","Competitive, depending on previous experience and skills.",2018-08-31,2018-09-30,971,https://www.careercenter.am/ccdspann.php?id=32640,Information Technology
100,Tert.am,Video Coordinator     with experience in media sphere,,ASAP,Long term,"Yerevan, Armenia",Tert.am is looking for a Video Coordinator to join its team.,Supervise camera operators; Arrange live broadcast in Youtube and Facebook; Monitor the website and media flow in general.,Higher education; Work experience in media sphere; Excellent knowledge of Armenian language; knowledge of foreign languages will be considered an asset; Awareness of mass media sector; Experience with social media platforms like YouTube and Facebook; Ability to make right decisions in pressing environment; Good team player; Good sense of responsibility; Ability to handle assigned tasks within required timeframes; Basic video editing skills and knowledge of FTP servers is a plus.,"Based on previous salary history, experience and prevailing market rates for comparable positions.",2018-08-31,2018-09-30,522,https://www.careercenter.am/ccdspann.php?id=32643,Admin & Clerical
101,Deltapro LLC,Measurement Engineer,,ASAP,Long term,"Yerevan, Armenia",Deltapro LLC is looking for an experienced and highly motivated Measurement Engineer to drive the Company's construction activities and coordinate projects with existing and potential customers.,Measure and model different types of constructions; Cooperate with clients in order to determine their needs and recommend appropriate products; Organize all project management processes; Prepare normative documents.,"University degree in Engineering; Proven work experience in a relevant sphere; Organizational skills, including ability to prioritize workload and deadlines; Ability to meet deadlines with flexibility and professionalism; Analytical mind and problem solving skills; Knowledge of Armenian, Russian and English languages; Advanced knowledge of AutoCAD program.",,2018-08-31,2018-09-30,457,https://www.careercenter.am/ccdspann.php?id=32631,Other
